date,target_name,model_name,actual_value,predicted_value,data_split,is_best_model
2015-10-01,converted_visitor_count,XGBoost Time-Series,,75.92748260498047,future,False
2015-10-02,converted_visitor_count,XGBoost Time-Series,,51.702266693115234,future,False
2015-09-19,high_intent_visitor_count,Rolling Average Baseline,,21.0,future,True
2015-09-20,high_intent_visitor_count,Rolling Average Baseline,,21.714285714285715,future,True
2015-09-21,high_intent_visitor_count,Rolling Average Baseline,,22.6734693877551,future,True
2015-09-22,high_intent_visitor_count,Rolling Average Baseline,,21.341107871720116,future,True
2015-09-23,high_intent_visitor_count,Rolling Average Baseline,,19.96126613910871,future,True
2015-09-24,high_intent_visitor_count,Rolling Average Baseline,,19.09858987326709,future,True
2015-09-25,high_intent_visitor_count,Rolling Average Baseline,,18.684102712305247,future,True
2015-09-26,high_intent_visitor_count,Rolling Average Baseline,,20.638974528348854,future,True
2015-09-27,high_intent_visitor_count,Rolling Average Baseline,,20.58739946097012,future,True
2015-09-28,high_intent_visitor_count,Rolling Average Baseline,,20.42641571049646,future,True
2015-09-29,high_intent_visitor_count,Rolling Average Baseline,,20.105408042316657,future,True
2015-09-30,high_intent_visitor_count,Rolling Average Baseline,,19.92887949525902,future,True
2015-10-01,high_intent_visitor_count,Rolling Average Baseline,,19.92425283185192,future,True
2015-10-02,high_intent_visitor_count,Rolling Average Baseline,,20.042204683078324,future,True
2015-09-19,high_intent_visitor_count,ARIMA,,14.18810596676208,future,False
2015-09-20,high_intent_visitor_count,ARIMA,,18.050442490641892,future,False
2015-09-21,high_intent_visitor_count,ARIMA,,19.67402448650268,future,False
2015-09-22,high_intent_visitor_count,ARIMA,,20.356517708153746,future,False
2015-09-23,high_intent_visitor_count,ARIMA,,20.643412363789967,future,False
2015-09-24,high_intent_visitor_count,ARIMA,,20.764012159980627,future,False
2015-09-25,high_intent_visitor_count,ARIMA,,20.814707809256404,future,False
2015-09-26,high_intent_visitor_count,ARIMA,,20.836018366460245,future,False
2015-09-27,high_intent_visitor_count,ARIMA,,20.844976528646267,future,False
2015-09-28,high_intent_visitor_count,ARIMA,,20.848742205394345,future,False
2015-09-29,high_intent_visitor_count,ARIMA,,20.850325155231214,future,False
2015-09-30,high_intent_visitor_count,ARIMA,,20.850990568211053,future,False
2015-10-01,high_intent_visitor_count,ARIMA,,20.85127028297107,future,False
2015-10-02,high_intent_visitor_count,ARIMA,,20.851387864607347,future,False
2015-09-19,high_intent_visitor_count,Prophet,,20.65698856133009,future,False
2015-09-20,high_intent_visitor_count,Prophet,,19.870807545452152,future,False
2015-09-21,high_intent_visitor_count,Prophet,,28.942720431661172,future,False
