model_name,threshold,precision,recall,f1_score,predicted_positive_rate
XGBoost Baseline,0.05,0.0015068883536268772,0.9698492462311558,0.0030091013622809922,0.9038325829534388
XGBoost Baseline,0.1,0.0016444486379382389,0.9195979899497487,0.003283026483977306,0.7853125485159415
XGBoost Baseline,0.15,0.001897375297505118,0.8592964824120602,0.0037863900313871803,0.6359963586580667
XGBoost Baseline,0.2,0.0022438824120674158,0.7964824120603015,0.004475157230484714,0.4984721888981412
XGBoost Baseline,0.25,0.002728216746908336,0.7261306532663316,0.005436009329621548,0.3737668129789847
XGBoost Baseline,0.3,0.0032304939413227013,0.6758793969849246,0.006430253265923243,0.2938090130269713
XGBoost Baseline,0.35,0.003681950986822491,0.6206030150753769,0.007320470644023591,0.2367013393928274
XGBoost Baseline,0.4,0.0043742171692841315,0.5703517587939698,0.00868185034325818,0.18310798413616924
XGBoost Baseline,0.45,0.005147461083204854,0.5201005025125628,0.010194031320791884,0.14189236870704133
XGBoost Baseline,0.5,0.005969123070191887,0.4798994974874372,0.011791579207309544,0.11290277052488956
XGBoost Baseline,0.55,0.007220216606498195,0.4472361809045226,0.014211009540537304,0.08698643670698489
XGBoost Baseline,0.6,0.00877910464038388,0.4045226130653266,0.01718524843891765,0.06470791639027282
XGBoost Baseline,0.65,0.010800270006750169,0.36180904522613067,0.020974437404413373,0.04704458526809027
XGBoost Baseline,0.7,0.01355501429630414,0.32160804020100503,0.026013616502387968,0.03331898437610264
XGBoost Baseline,0.75,0.01821549861068231,0.2964824120603015,0.03432228039557882,0.02285718318208121
XGBoost Baseline,0.8,0.02665983081261215,0.2613065326633166,0.048383344963945106,0.01376441364515264
XGBoost Baseline,0.85,0.03980099502487562,0.22110552763819097,0.06745879647374473,0.007801363386165723
XGBoost Baseline,0.9,0.0686184812442818,0.1884422110552764,0.1006036217303823,0.003856576291758994
XGBoost Baseline,0.95,0.12368972746331237,0.14824120603015076,0.13485714285714287,0.0016830621145187924
XGBoost Baseline,0.97,0.1598639455782313,0.11809045226130653,0.13583815028901733,0.001037359039137369
XGBoost Baseline,0.98,0.19576719576719576,0.09296482412060302,0.1260647359454855,0.00066687366801688
XGBoost Baseline,0.99,0.27722772277227725,0.07035175879396985,0.11222444889779559,0.0003563716426968512
Tuned XGBoost,0.05,0.001413994997726239,1.0,0.002823996877993401,0.9931548417145357
Tuned XGBoost,0.1,0.0014520142136868757,1.0,0.002899817850637523,0.9671502970939834
Tuned XGBoost,0.15,0.0015481614579991017,0.9698492462311558,0.0030913881614249216,0.8797369201021834
Tuned XGBoost,0.2,0.0018214936247723133,0.9195979899497487,0.0036357856674547515,0.708981976768803
Tuned XGBoost,0.25,0.002495162820579864,0.8391959798994975,0.004975532002055759,0.4723123932649288
Tuned XGBoost,0.3,0.003265070172245833,0.7663316582914573,0.006502435748472994,0.3296014283093165
Tuned XGBoost,0.35,0.0036825790452572845,0.7462311557788944,0.007328990228013029,0.2845680493415946
Tuned XGBoost,0.4,0.004415592464055528,0.7160804020100503,0.008777062609713282,0.22773912184381748
Tuned XGBoost,0.45,0.005279108417245088,0.678391959798995,0.010476689366160294,0.1804616600567372
Tuned XGBoost,0.5,0.00596829640947288,0.628140703517588,0.011824244430780874,0.1477989640523337
Tuned XGBoost,0.55,0.006941535515528694,0.5829145728643216,0.013719692489651094,0.11792725784370457
Tuned XGBoost,0.6,0.007502565735923842,0.5326633165829145,0.014796719595184086,0.09970290601668243
Tuned XGBoost,0.65,0.008641516446757109,0.46733668341708545,0.016969254630052003,0.07594597264759431
Tuned XGBoost,0.7,0.010955129887168721,0.41959798994974873,0.021352768188211226,0.05378741902248317
Tuned XGBoost,0.75,0.013544642034460519,0.3693467336683417,0.026131010576837616,0.03829407364543491
Tuned XGBoost,0.8,0.01863268940950815,0.3417085427135678,0.03533844354943484,0.025754025941032842
Tuned XGBoost,0.85,0.027733211093284436,0.30402010050251255,0.05082965763495064,0.015394549278082792
Tuned XGBoost,0.9,0.04867944070429829,0.23618090452261306,0.08072133963074281,0.006813402396511087
